17784904546N iot/window {"phase":"BENCHMARK","idx":0,"average":0.000000,"adaptive_rate":106014.18,"sample_count":0,"compute_ms":94.3270,"timestamp_us":1778490454566114,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":0,"current_ma":145.60,"voltage_v":5.084,"power_mw":740.23,"energy_mj":52.8191}
17784905196N iot/window {"phase":"SIG2_WINDOW","idx":0,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7520,"timestamp_us":1778490519222058,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":72.60,"voltage_v":5.120,"power_mw":371.71,"energy_mj":2934.5525}
17784905246N iot/window {"phase":"SIG2_WINDOW","idx":1,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7500,"timestamp_us":1778490524161055,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":127.00,"voltage_v":5.092,"power_mw":646.68,"energy_mj":5163.0156}
17784905296N iot/window {"phase":"SIG2_WINDOW","idx":2,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7890,"timestamp_us":1778490529100097,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":60.50,"voltage_v":5.120,"power_mw":309.76,"energy_mj":7125.4443}
17784905346N iot/window {"phase":"SIG2_WINDOW","idx":3,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7720,"timestamp_us":1778490534039078,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":64.80,"voltage_v":5.116,"power_mw":331.52,"energy_mj":8886.5869}
17784905386N iot/window {"phase":"SIG2_WINDOW","idx":4,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7690,"timestamp_us":1778490538978077,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":63.30,"voltage_v":5.116,"power_mw":323.84,"energy_mj":10662.7520}
17784905466N iot/window {"phase":"NOISY_p1","idx":0,"average":-0.237576,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3530,"timestamp_us":1778490546384664,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.141096,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":53.40,"voltage_v":5.120,"power_mw":273.41,"energy_mj":1547.1401}
17784905516N iot/window {"phase":"NOISY_p1","idx":1,"average":0.051213,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3470,"timestamp_us":1778490551280656,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.178686,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":63.10,"voltage_v":5.120,"power_mw":323.07,"energy_mj":3252.2458}
17784905566N iot/window {"phase":"NOISY_p1","idx":2,"average":-0.086335,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3500,"timestamp_us":1778490556176659,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.386730,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":63.00,"voltage_v":5.120,"power_mw":322.56,"energy_mj":4887.6318}
17784905616N iot/window {"phase":"NOISY_p1","idx":3,"average":0.081899,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3470,"timestamp_us":1778490561072658,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.177996,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":126.50,"voltage_v":5.092,"power_mw":644.14,"energy_mj":6970.0796}
17784905656N iot/window {"phase":"NOISY_p1","idx":4,"average":-0.131385,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3850,"timestamp_us":1778490565968694,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.138496,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":63.90,"voltage_v":5.120,"power_mw":327.17,"energy_mj":9017.0879}
17784905706N iot/window {"phase":"NOISY_p1","idx":0,"average":0.074049,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1670,"timestamp_us":1778490570865476,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.179175,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":54.50,"voltage_v":5.120,"power_mw":279.04,"energy_mj":10647.1064}
17784905756N iot/window {"phase":"NOISY_p1","idx":1,"average":0.321065,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1410,"timestamp_us":1778490575761450,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.567451,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":64.10,"voltage_v":5.120,"power_mw":328.19,"energy_mj":12415.4258}
17784905806N iot/window {"phase":"NOISY_p1","idx":2,"average":0.047499,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1570,"timestamp_us":1778490580657466,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":1.0000,"fpr":0.0000,"mean_err":0.153428,"tp":1,"fp":0,"fn":0,"tn":27,"bytes":192,"current_ma":63.70,"voltage_v":5.120,"power_mw":326.14,"energy_mj":14158.1211}
17784905856N iot/window {"phase":"NOISY_p1","idx":3,"average":0.257797,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1530,"timestamp_us":1778490585553462,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.490626,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":114.80,"voltage_v":5.096,"power_mw":585.02,"energy_mj":15853.2871}
17784905906N iot/window {"phase":"NOISY_p1","idx":4,"average":0.086636,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1190,"timestamp_us":1778490590449429,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.145924,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":53.20,"voltage_v":5.120,"power_mw":272.38,"energy_mj":18270.5391}
17784905956N iot/window {"phase":"NOISY_p5","idx":0,"average":-0.039545,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3430,"timestamp_us":1778490595685652,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.695092,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":62.60,"voltage_v":5.120,"power_mw":320.51,"energy_mj":1969.5187}
17784906006N iot/window {"phase":"NOISY_p5","idx":1,"average":-0.246511,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3320,"timestamp_us":1778490600581642,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.654441,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":62.10,"voltage_v":5.120,"power_mw":317.95,"energy_mj":4272.2930}
17784906056N iot/window {"phase":"NOISY_p5","idx":2,"average":0.353723,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3470,"timestamp_us":1778490605477656,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.643194,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":57.10,"voltage_v":5.116,"power_mw":292.12,"energy_mj":5965.5405}
17784906106N iot/window {"phase":"NOISY_p5","idx":3,"average":-0.516627,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3310,"timestamp_us":1778490610373640,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.885211,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":59.20,"voltage_v":5.116,"power_mw":302.87,"energy_mj":7645.8179}
17784906156N iot/window {"phase":"NOISY_p5","idx":4,"average":0.022243,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3720,"timestamp_us":1778490615269681,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.139434,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":69.30,"voltage_v":5.120,"power_mw":354.82,"energy_mj":9326.4697}
17784906216N iot/window {"phase":"NOISY_p5","idx":0,"average":-0.215138,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1400,"timestamp_us":1778490620166452,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.653056,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":62.80,"voltage_v":5.116,"power_mw":321.28,"energy_mj":11530.6699}
17784906256N iot/window {"phase":"NOISY_p5","idx":1,"average":0.062304,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1560,"timestamp_us":1778490625062476,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.480112,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":53.30,"voltage_v":5.120,"power_mw":272.90,"energy_mj":12715.5869}
17784906296N iot/window {"phase":"NOISY_p5","idx":2,"average":0.042435,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1540,"timestamp_us":1778490629958465,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.164532,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":63.00,"voltage_v":5.116,"power_mw":322.31,"energy_mj":15062.6328}
17784906346N iot/window {"phase":"NOISY_p5","idx":3,"average":0.298169,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1430,"timestamp_us":1778490634854455,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":1.0000,"fpr":0.0000,"mean_err":0.236911,"tp":1,"fp":0,"fn":0,"tn":27,"bytes":192,"current_ma":63.20,"voltage_v":5.120,"power_mw":323.58,"energy_mj":16683.6406}
17784906396N iot/window {"phase":"NOISY_p5","idx":4,"average":-0.084930,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1240,"timestamp_us":1778490639750437,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.365691,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":60.70,"voltage_v":5.124,"power_mw":311.03,"energy_mj":18408.7168}
17784906446N iot/window {"phase":"NOISY_p10","idx":0,"average":0.343862,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3460,"timestamp_us":1778490644985655,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.895862,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":68.00,"voltage_v":5.116,"power_mw":347.89,"energy_mj":1591.6688}
17784906496N iot/window {"phase":"NOISY_p10","idx":1,"average":0.054767,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3420,"timestamp_us":1778490649881652,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.474019,"tp":0,"fp":0,"fn":4,"tn":24,"bytes":192,"current_ma":60.00,"voltage_v":5.120,"power_mw":307.20,"energy_mj":3254.9856}
17784906546N iot/window {"phase":"NOISY_p10","idx":2,"average":-0.326672,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3400,"timestamp_us":1778490654777649,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.691228,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":53.10,"voltage_v":5.124,"power_mw":272.08,"energy_mj":4938.7754}
17784906596N iot/window {"phase":"NOISY_p10","idx":3,"average":0.241218,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.2890,"timestamp_us":1778490659673711,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.832811,"tp":0,"fp":0,"fn":5,"tn":23,"bytes":192,"current_ma":115.30,"voltage_v":5.096,"power_mw":587.57,"energy_mj":6884.6514}
17784906646N iot/window {"phase":"NOISY_p10","idx":4,"average":0.205807,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3710,"timestamp_us":1778490664569680,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.006066,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":65.70,"voltage_v":5.120,"power_mw":336.38,"energy_mj":8916.4170}
17784906696N iot/window {"phase":"NOISY_p10","idx":0,"average":0.081081,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1530,"timestamp_us":1778490669466462,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.561544,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":74.00,"voltage_v":5.120,"power_mw":378.88,"energy_mj":10525.2539}
17784906746N iot/window {"phase":"NOISY_p10","idx":1,"average":0.413253,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1540,"timestamp_us":1778490674362463,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.058809,"tp":0,"fp":0,"fn":3,"tn":25,"bytes":192,"current_ma":59.90,"voltage_v":5.120,"power_mw":306.69,"energy_mj":12173.8887}
17784906796N iot/window {"phase":"NOISY_p10","idx":2,"average":0.499024,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1440,"timestamp_us":1778490679258453,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.2500,"fpr":0.0000,"mean_err":1.137217,"tp":1,"fp":0,"fn":3,"tn":24,"bytes":192,"current_ma":62.50,"voltage_v":5.120,"power_mw":320.00,"energy_mj":13780.5723}
17784906846N iot/window {"phase":"NOISY_p10","idx":3,"average":0.650158,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1400,"timestamp_us":1778490684154448,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.256786,"tp":0,"fp":0,"fn":3,"tn":25,"bytes":192,"current_ma":54.20,"voltage_v":5.120,"power_mw":277.50,"energy_mj":15497.1260}
17784906896N iot/window {"phase":"NOISY_p10","idx":4,"average":0.599163,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1190,"timestamp_us":1778490689050430,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":2.683811,"tp":0,"fp":0,"fn":6,"tn":22,"bytes":192,"current_ma":54.70,"voltage_v":5.120,"power_mw":280.06,"energy_mj":17700.8496}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":0,"average":0.000000,"adaptive_rate":5.00,"sample_count":288,"compute_ms":7.2260,"timestamp_us":1778490719161526,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.684511,"tp":0,"fp":0,"fn":17,"tn":271,"bytes":20,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":0,"average":0.000000,"adaptive_rate":5.00,"sample_count":288,"compute_ms":7.8990,"timestamp_us":1778490719169458,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.1765,"fpr":0.0480,"mean_err":0.761474,"tp":3,"fp":13,"fn":14,"tn":258,"bytes":20,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":1,"average":0.000000,"adaptive_rate":11.00,"sample_count":282,"compute_ms":7.8500,"timestamp_us":1778490719177345,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.647064,"tp":0,"fp":0,"fn":15,"tn":267,"bytes":44,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":1,"average":0.000000,"adaptive_rate":11.00,"sample_count":282,"compute_ms":10.4180,"timestamp_us":1778490719187785,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4000,"fpr":0.0075,"mean_err":0.457338,"tp":6,"fp":2,"fn":9,"tn":265,"bytes":44,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":2,"average":0.000000,"adaptive_rate":21.00,"sample_count":272,"compute_ms":7.1510,"timestamp_us":1778490719194958,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.2667,"fpr":0.0000,"mean_err":0.513966,"tp":4,"fp":0,"fn":11,"tn":257,"bytes":84,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":2,"average":0.000000,"adaptive_rate":21.00,"sample_count":272,"compute_ms":15.1310,"timestamp_us":1778490719210108,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4000,"fpr":0.0000,"mean_err":0.449013,"tp":6,"fp":0,"fn":9,"tn":257,"bytes":84,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":3,"average":0.000000,"adaptive_rate":51.00,"sample_count":242,"compute_ms":7.2060,"timestamp_us":1778490719217333,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.3077,"fpr":0.0000,"mean_err":0.500966,"tp":4,"fp":0,"fn":9,"tn":229,"bytes":204,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":3,"average":0.000000,"adaptive_rate":51.00,"sample_count":242,"compute_ms":30.0260,"timestamp_us":1778490719247378,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.2308,"fpr":0.0000,"mean_err":0.545348,"tp":3,"fp":0,"fn":10,"tn":229,"bytes":204,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":4,"average":0.000000,"adaptive_rate":101.00,"sample_count":192,"compute_ms":6.9170,"timestamp_us":1778490719254313,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.4444,"fpr":0.0000,"mean_err":0.396656,"tp":4,"fp":0,"fn":5,"tn":183,"bytes":404,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":4,"average":0.000000,"adaptive_rate":101.00,"sample_count":192,"compute_ms":49.5790,"timestamp_us":1778490719303928,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4444,"fpr":0.0000,"mean_err":0.394488,"tp":4,"fp":0,"fn":5,"tn":183,"bytes":404,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":5,"average":0.000000,"adaptive_rate":201.00,"sample_count":92,"compute_ms":4.5440,"timestamp_us":1778490719308502,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.2500,"fpr":0.0000,"mean_err":0.446035,"tp":1,"fp":0,"fn":3,"tn":88,"bytes":804,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
17784907196N iot/window {"phase":"WINDOW_TRADEOFF","idx":5,"average":0.000000,"adaptive_rate":201.00,"sample_count":92,"compute_ms":50.4860,"timestamp_us":1778490719359009,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.548544,"tp":0,"fp":0,"fn":4,"tn":88,"bytes":804,"current_ma":82.00,"voltage_v":5.108,"power_mw":418.86,"energy_mj":11180.0439}
