17784895296N iot/window {"phase":"BENCHMARK","idx":0,"average":0.000000,"adaptive_rate":105857.07,"sample_count":0,"compute_ms":94.4670,"timestamp_us":1778489529109586,"signal":0,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":0,"current_ma":92.20,"voltage_v":5.112,"power_mw":471.33,"energy_mj":33.1800}
17784895936N iot/window {"phase":"SIG2_WINDOW","idx":0,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7530,"timestamp_us":1778489593766458,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":56.20,"voltage_v":5.116,"power_mw":287.52,"energy_mj":2724.8748}
17784895986N iot/window {"phase":"SIG2_WINDOW","idx":1,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7520,"timestamp_us":1778489598705457,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":61.30,"voltage_v":5.124,"power_mw":314.10,"energy_mj":4543.3530}
17784896036N iot/window {"phase":"SIG2_WINDOW","idx":2,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.8420,"timestamp_us":1778489603644552,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":118.80,"voltage_v":5.092,"power_mw":604.93,"energy_mj":7212.9990}
17784896086N iot/window {"phase":"SIG2_WINDOW","idx":3,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7510,"timestamp_us":1778489608583457,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":63.80,"voltage_v":5.120,"power_mw":326.66,"energy_mj":8956.6924}
17784896136N iot/window {"phase":"SIG2_WINDOW","idx":4,"average":0.002532,"adaptive_rate":89.84,"sample_count":449,"compute_ms":8.7650,"timestamp_us":1778489613522473,"signal":2,"filter":0,"anomaly_prob":0.00,"tpr":0.0000,"fpr":0.0000,"mean_err":0.000000,"tp":0,"fp":0,"fn":0,"tn":0,"bytes":1796,"current_ma":65.20,"voltage_v":5.120,"power_mw":333.82,"energy_mj":10777.2842}
17784896206N iot/window {"phase":"NOISY_p1","idx":0,"average":-0.237576,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3540,"timestamp_us":1778489620927062,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.141096,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":63.90,"voltage_v":5.116,"power_mw":326.91,"energy_mj":1836.6709}
17784896256N iot/window {"phase":"NOISY_p1","idx":1,"average":0.051213,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3460,"timestamp_us":1778489625823054,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.178686,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":65.70,"voltage_v":5.120,"power_mw":336.38,"energy_mj":3596.9846}
17784896306N iot/window {"phase":"NOISY_p1","idx":2,"average":-0.086335,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3460,"timestamp_us":1778489630719054,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.386730,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":56.60,"voltage_v":5.120,"power_mw":289.79,"energy_mj":5345.3584}
17784896356N iot/window {"phase":"NOISY_p1","idx":3,"average":0.081899,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3340,"timestamp_us":1778489635615045,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.177996,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":126.70,"voltage_v":5.096,"power_mw":645.66,"energy_mj":7263.6338}
17784896406N iot/window {"phase":"NOISY_p1","idx":4,"average":-0.131385,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3670,"timestamp_us":1778489640511078,"signal":0,"filter":1,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.138496,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":115.60,"voltage_v":5.100,"power_mw":589.56,"energy_mj":9691.7803}
17784896456N iot/window {"phase":"NOISY_p1","idx":0,"average":0.074049,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1720,"timestamp_us":1778489645407881,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.179175,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":61.20,"voltage_v":5.120,"power_mw":313.34,"energy_mj":11383.7676}
17784896506N iot/window {"phase":"NOISY_p1","idx":1,"average":0.321065,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1370,"timestamp_us":1778489650303845,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.567451,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":63.40,"voltage_v":5.120,"power_mw":324.61,"energy_mj":13070.9990}
17784896556N iot/window {"phase":"NOISY_p1","idx":2,"average":0.047499,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1540,"timestamp_us":1778489655199862,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":1.0000,"fpr":0.0000,"mean_err":0.153428,"tp":1,"fp":0,"fn":0,"tn":27,"bytes":192,"current_ma":54.10,"voltage_v":5.120,"power_mw":276.99,"energy_mj":14874.6348}
17784896606N iot/window {"phase":"NOISY_p1","idx":3,"average":0.257797,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1610,"timestamp_us":1778489660095869,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.490626,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":61.20,"voltage_v":5.120,"power_mw":313.34,"energy_mj":16615.6152}
17784896656N iot/window {"phase":"NOISY_p1","idx":4,"average":0.086636,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1150,"timestamp_us":1778489664991824,"signal":0,"filter":2,"anomaly_prob":0.01,"tpr":0.0000,"fpr":0.0000,"mean_err":0.145924,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":127.70,"voltage_v":5.092,"power_mw":650.25,"energy_mj":18698.1602}
17784896706N iot/window {"phase":"NOISY_p5","idx":0,"average":-0.039545,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3460,"timestamp_us":1778489670226057,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.695092,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":125.10,"voltage_v":5.092,"power_mw":637.01,"energy_mj":1996.0344}
17784896756N iot/window {"phase":"NOISY_p5","idx":1,"average":-0.246511,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3430,"timestamp_us":1778489675122053,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.654441,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":117.90,"voltage_v":5.092,"power_mw":600.35,"energy_mj":4388.8008}
17784896806N iot/window {"phase":"NOISY_p5","idx":2,"average":0.353723,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3460,"timestamp_us":1778489680018056,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.643194,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":62.80,"voltage_v":5.124,"power_mw":321.79,"energy_mj":6053.4253}
17784896846N iot/window {"phase":"NOISY_p5","idx":3,"average":-0.516627,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3470,"timestamp_us":1778489684914055,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.885211,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":65.50,"voltage_v":5.120,"power_mw":335.36,"energy_mj":7870.3218}
17784896896N iot/window {"phase":"NOISY_p5","idx":4,"average":0.022243,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3370,"timestamp_us":1778489689810045,"signal":0,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.139434,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":65.90,"voltage_v":5.120,"power_mw":337.41,"energy_mj":9607.5645}
17784896956N iot/window {"phase":"NOISY_p5","idx":0,"average":-0.215138,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1350,"timestamp_us":1778489694706843,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.653056,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":61.00,"voltage_v":5.116,"power_mw":312.08,"energy_mj":11660.3975}
17784896996N iot/window {"phase":"NOISY_p5","idx":1,"average":0.062304,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1480,"timestamp_us":1778489699602857,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.480112,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":114.10,"voltage_v":5.096,"power_mw":581.45,"energy_mj":13375.0332}
17784897046N iot/window {"phase":"NOISY_p5","idx":2,"average":0.042435,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1480,"timestamp_us":1778489704498859,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.164532,"tp":0,"fp":0,"fn":0,"tn":28,"bytes":192,"current_ma":63.00,"voltage_v":5.120,"power_mw":322.56,"energy_mj":15413.2812}
17784897096N iot/window {"phase":"NOISY_p5","idx":3,"average":0.298169,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1520,"timestamp_us":1778489709394860,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":1.0000,"fpr":0.0000,"mean_err":0.236911,"tp":1,"fp":0,"fn":0,"tn":27,"bytes":192,"current_ma":64.50,"voltage_v":5.120,"power_mw":330.24,"energy_mj":17168.1973}
17784897146N iot/window {"phase":"NOISY_p5","idx":4,"average":-0.084930,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1200,"timestamp_us":1778489714290829,"signal":0,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.365691,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":54.00,"voltage_v":5.120,"power_mw":276.48,"energy_mj":18936.3965}
17784897206N iot/window {"phase":"NOISY_p10","idx":0,"average":0.343862,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3560,"timestamp_us":1778489719525064,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.895862,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":77.80,"voltage_v":5.116,"power_mw":398.02,"energy_mj":2106.4871}
17784897246N iot/window {"phase":"NOISY_p10","idx":1,"average":0.054767,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3550,"timestamp_us":1778489724421063,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.474019,"tp":0,"fp":0,"fn":4,"tn":24,"bytes":192,"current_ma":64.30,"voltage_v":5.120,"power_mw":329.22,"energy_mj":3531.2351}
17784897296N iot/window {"phase":"NOISY_p10","idx":2,"average":-0.326672,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3410,"timestamp_us":1778489729317049,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.691228,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":67.80,"voltage_v":5.124,"power_mw":347.41,"energy_mj":5422.8540}
17784897346N iot/window {"phase":"NOISY_p10","idx":3,"average":0.241218,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3470,"timestamp_us":1778489734213058,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.832811,"tp":0,"fp":0,"fn":5,"tn":23,"bytes":192,"current_ma":124.90,"voltage_v":5.092,"power_mw":635.99,"energy_mj":7524.3945}
17784897396N iot/window {"phase":"NOISY_p10","idx":4,"average":0.205807,"adaptive_rate":9.77,"sample_count":48,"compute_ms":0.3440,"timestamp_us":1778489739109054,"signal":0,"filter":1,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.006066,"tp":0,"fp":0,"fn":2,"tn":26,"bytes":192,"current_ma":65.90,"voltage_v":5.124,"power_mw":337.67,"energy_mj":9337.3438}
17784897436N iot/window {"phase":"NOISY_p10","idx":0,"average":0.081081,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1470,"timestamp_us":1778489744005855,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":0.561544,"tp":0,"fp":0,"fn":1,"tn":27,"bytes":192,"current_ma":64.20,"voltage_v":5.120,"power_mw":328.70,"energy_mj":10993.7422}
17784897486N iot/window {"phase":"NOISY_p10","idx":1,"average":0.413253,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1630,"timestamp_us":1778489748901871,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.058809,"tp":0,"fp":0,"fn":3,"tn":25,"bytes":192,"current_ma":63.00,"voltage_v":5.120,"power_mw":322.56,"energy_mj":12706.2432}
17784897536N iot/window {"phase":"NOISY_p10","idx":2,"average":0.499024,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1440,"timestamp_us":1778489753797852,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.2500,"fpr":0.0000,"mean_err":1.137217,"tp":1,"fp":0,"fn":3,"tn":24,"bytes":192,"current_ma":58.20,"voltage_v":5.116,"power_mw":297.75,"energy_mj":14404.5742}
17784897586N iot/window {"phase":"NOISY_p10","idx":3,"average":0.650158,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1390,"timestamp_us":1778489758693847,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.256786,"tp":0,"fp":0,"fn":3,"tn":25,"bytes":192,"current_ma":68.60,"voltage_v":5.120,"power_mw":351.23,"energy_mj":16184.0693}
17784897636N iot/window {"phase":"NOISY_p10","idx":4,"average":0.599163,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.2160,"timestamp_us":1778489763589927,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":2.683811,"tp":0,"fp":0,"fn":6,"tn":22,"bytes":192,"current_ma":55.70,"voltage_v":5.120,"power_mw":285.18,"energy_mj":18337.2578}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":0,"average":0.000000,"adaptive_rate":5.00,"sample_count":288,"compute_ms":7.1850,"timestamp_us":1778489793694883,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.684511,"tp":0,"fp":0,"fn":17,"tn":271,"bytes":20,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":0,"average":0.000000,"adaptive_rate":5.00,"sample_count":288,"compute_ms":7.8720,"timestamp_us":1778489793702786,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.1765,"fpr":0.0480,"mean_err":0.761474,"tp":3,"fp":13,"fn":14,"tn":258,"bytes":20,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":1,"average":0.000000,"adaptive_rate":11.00,"sample_count":282,"compute_ms":7.0910,"timestamp_us":1778489793709897,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.647064,"tp":0,"fp":0,"fn":15,"tn":267,"bytes":44,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":1,"average":0.000000,"adaptive_rate":11.00,"sample_count":282,"compute_ms":10.3830,"timestamp_us":1778489793720299,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4000,"fpr":0.0075,"mean_err":0.457338,"tp":6,"fp":2,"fn":9,"tn":265,"bytes":44,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":2,"average":0.000000,"adaptive_rate":21.00,"sample_count":272,"compute_ms":7.1450,"timestamp_us":1778489793727463,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.2667,"fpr":0.0000,"mean_err":0.513966,"tp":4,"fp":0,"fn":11,"tn":257,"bytes":84,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":2,"average":0.000000,"adaptive_rate":21.00,"sample_count":272,"compute_ms":15.1340,"timestamp_us":1778489793742615,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4000,"fpr":0.0000,"mean_err":0.449013,"tp":6,"fp":0,"fn":9,"tn":257,"bytes":84,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":3,"average":0.000000,"adaptive_rate":51.00,"sample_count":242,"compute_ms":7.2070,"timestamp_us":1778489793749839,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.3077,"fpr":0.0000,"mean_err":0.500966,"tp":4,"fp":0,"fn":9,"tn":229,"bytes":204,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":3,"average":0.000000,"adaptive_rate":51.00,"sample_count":242,"compute_ms":30.0450,"timestamp_us":1778489793779903,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.2308,"fpr":0.0000,"mean_err":0.545348,"tp":3,"fp":0,"fn":10,"tn":229,"bytes":204,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":4,"average":0.000000,"adaptive_rate":101.00,"sample_count":192,"compute_ms":7.6300,"timestamp_us":1778489793787567,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.4444,"fpr":0.0000,"mean_err":0.396656,"tp":4,"fp":0,"fn":5,"tn":183,"bytes":404,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":4,"average":0.000000,"adaptive_rate":101.00,"sample_count":192,"compute_ms":49.1910,"timestamp_us":1778489793836781,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4444,"fpr":0.0000,"mean_err":0.394488,"tp":4,"fp":0,"fn":5,"tn":183,"bytes":404,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":5,"average":0.000000,"adaptive_rate":201.00,"sample_count":92,"compute_ms":4.5670,"timestamp_us":1778489793841372,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.2500,"fpr":0.0000,"mean_err":0.446035,"tp":1,"fp":0,"fn":3,"tn":88,"bytes":804,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
17784897936N iot/window {"phase":"WINDOW_TRADEOFF","idx":5,"average":0.000000,"adaptive_rate":201.00,"sample_count":92,"compute_ms":50.8540,"timestamp_us":1778489793892265,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.548544,"tp":0,"fp":0,"fn":4,"tn":88,"bytes":804,"current_ma":149.90,"voltage_v":5.084,"power_mw":762.09,"energy_mj":12503.2305}
