i,sample,gt,z_flagged,h_flagged
89,3.6406,0,0,0
90,3.1219,0,0,0
91,3.0422,0,0,0
92,3.0591,0,0,0
93,3.0681,0,0,0
94,2.4094,0,0,0
95,2.5853,0,0,0
96,2.3476,0,0,0
97,2.3604,0,0,0
98,1.9839,0,0,0
99,2.0527,0,0,0
100,1.5751,0,0,0
101,1.3661,0,0,0
102,1.8753,0,0,0
103,1.4490,0,0,0
104,14.1435,1,1,1
105,1.4325,0,0,0
106,0.9992,0,0,0
107,1.2727,0,0,0
108,0.9153,0,0,0
109,0.4358,0,0,0
110,0.5089,0,0,0
111,0.0685,0,0,0
112,-0.0437,0,0,0
113,0.0787,0,0,0
114,-0.3172,0,0,0
115,-0.2168,0,0,0
116,-0.3889,0,0,0
117,-0.2383,0,0,0
118,-0.4095,0,0,0
119,13.5020,1,1,1
120,-0.8245,0,0,0
121,-0.7844,0,0,0
122,-0.7860,0,0,0
123,-1.2016,0,0,0
124,-1.5213,0,0,0
125,-1.4372,0,0,0
126,-1.3705,0,0,0
127,-1.4726,0,0,0
128,-1.8131,0,0,0
129,-2.1586,0,0,0
130,-1.8851,0,0,0
131,-1.9246,0,0,0
132,-2.1163,0,0,0
133,-2.2745,0,0,0
134,-2.2245,0,0,0
135,-2.2309,0,0,0
136,-2.6677,0,0,0
137,-2.7368,0,0,0
138,-2.3190,0,0,0
139,-2.7652,0,0,0
140,-2.2335,0,0,0
141,-3.1629,0,0,0
142,-3.2297,0,0,0
143,-2.5935,0,0,0
144,-3.2022,0,0,0
145,-3.6612,0,0,0
146,-3.0638,0,0,0
147,-3.2547,0,0,0
148,-3.3586,0,0,0
149,-2.8828,0,0,0
150,-3.3224,0,0,0
151,-3.3411,0,0,0
152,-3.1422,0,0,0
153,-3.4346,0,0,0
154,-3.4656,0,0,0
155,-3.5160,0,0,0
156,-3.2912,0,0,0
157,-3.5327,0,0,0
158,-3.2837,0,0,0
159,-3.5386,0,0,0
160,-3.8965,0,0,0
161,-3.2412,0,0,0
162,-3.7817,0,0,0
163,-3.6240,0,0,0
164,-3.6814,0,0,0
165,-3.6894,0,0,0
166,-3.2239,0,0,0
167,-3.2899,0,0,0
168,-3.2072,0,0,0
169,-3.7376,0,0,0
170,-3.3937,0,0,0
171,-3.6391,0,0,0
172,-3.2911,0,0,0
173,-3.5475,0,0,0
174,-3.1592,0,0,0
175,-3.3604,0,0,0
176,-3.1473,0,0,0
177,-2.7512,0,0,0
178,-3.1075,0,0,0
179,-2.8326,0,0,0
180,-2.8405,0,0,0
181,-2.7069,0,0,0
182,-2.7686,0,0,0
183,-2.8338,0,0,0
184,-2.4833,0,0,0
185,-2.4041,0,0,0
186,-2.1885,0,0,0
187,-2.0096,0,0,0
188,-1.9999,0,0,0
189,-2.5410,0,0,0
190,-2.2040,0,0,0
191,-1.8245,0,0,0
192,-1.8508,0,0,0
193,-1.9970,0,0,0
194,-2.0839,0,0,0
195,-1.6866,0,0,0
196,-1.3838,0,0,0
197,-1.5044,0,0,0
198,-1.3707,0,0,0
199,-1.5626,0,0,0
200,-1.2155,0,0,0
201,-1.1985,0,0,0
202,-0.8417,0,0,0
203,-0.9747,0,0,0
204,-0.8517,0,0,0
205,-0.9382,0,0,0
206,-0.6065,0,0,0
207,-0.6125,0,0,0
208,-0.5597,0,0,0
209,-0.3784,0,0,0
210,-0.3702,0,0,0
211,0.1468,0,0,0
212,7.5509,1,1,1
213,-0.1283,0,0,0
214,-0.0871,0,0,0
215,0.0476,0,0,0
216,0.4524,0,0,0
217,0.4033,0,0,0
218,0.4676,0,0,0
219,0.7759,0,0,0
220,0.7802,0,0,0
221,1.0419,0,0,0
222,1.2437,0,0,0
223,1.4571,0,0,0
224,1.0728,0,0,0
225,1.0444,0,0,0
226,1.0936,0,0,0
227,1.0883,0,0,0
228,1.2629,0,0,0
229,-4.7673,1,1,1
230,1.5511,0,0,0
231,1.3687,0,0,0
232,1.7301,0,0,0
233,1.6918,0,0,0
234,1.3524,0,0,0
235,1.8459,0,0,0
236,1.4643,0,0,0
237,1.4832,0,0,0
238,1.7241,0,0,0
239,1.9543,0,0,0
240,1.6510,0,0,0
241,1.7282,0,0,0
242,2.1004,0,0,0
243,2.2493,0,0,0
244,1.7477,0,0,0
245,2.1339,0,0,0
246,1.8331,0,0,0
247,1.7041,0,0,0
248,2.1573,0,0,0
249,1.6185,0,0,0
250,1.7069,0,0,0
251,1.6442,0,0,0
252,2.0973,0,0,0
253,1.9365,0,0,0
254,1.6968,0,0,0
255,1.9284,0,0,0
256,2.0319,0,0,0
257,1.7716,0,0,0
258,2.0785,0,0,0
259,1.8193,0,0,0
260,1.7763,0,0,0
261,1.6827,0,0,0
262,1.9056,0,0,0
263,1.7066,0,0,0
264,1.4596,0,0,0
265,1.5385,0,0,0
266,1.1496,0,0,0
267,1.2639,0,0,0
268,1.8397,0,0,0
269,1.7574,0,0,0
270,1.4855,0,0,0
271,1.3272,0,0,0
272,0.9968,0,0,0
273,1.4772,0,0,0
274,1.0172,0,0,0
275,1.0447,0,0,0
276,1.3064,0,0,0
277,1.2410,0,0,0
278,0.9697,0,0,0
279,0.7159,0,0,0
280,0.7317,0,0,0
281,0.8653,0,0,0
282,0.4659,0,0,0
283,0.4368,0,0,0
284,0.4515,0,0,0
285,0.3920,0,0,0
286,-8.6098,1,1,1
287,0.0703,0,0,0
288,-0.2304,0,0,0
289,0.1033,0,0,0
290,-0.2189,0,0,0
291,-0.3708,0,0,0
292,-0.5676,0,0,0
293,-0.6393,0,0,0
294,-0.5335,0,0,0
295,-0.5710,0,0,0
296,-0.5159,0,0,0
297,-14.7055,1,1,1
298,-1.1178,0,0,0
299,-0.9090,0,0,0
300,-0.9703,0,0,0
301,-1.1763,0,0,0
302,-1.3272,0,0,0
303,-1.4643,0,0,0
304,-1.7323,0,0,0
305,-2.0356,0,0,0
306,-1.6792,0,0,0
307,-1.9776,0,0,0
308,-1.5708,0,0,0
309,-1.8762,0,0,0
310,-2.2041,0,0,0
311,-2.1096,0,0,0
312,-2.4786,0,0,0
313,-2.1631,0,0,0
314,-2.2444,0,0,0
315,-2.8058,0,0,0
316,-2.5003,0,0,0
317,-2.6369,0,0,0
318,-2.6384,0,0,0
319,-2.7948,0,0,0
320,-2.7750,0,0,0
321,8.8190,1,1,1
322,-3.0554,0,0,0
323,-3.2291,0,0,0
324,-3.0472,0,0,0
325,-3.5045,0,0,0
326,-3.6201,0,0,0
327,-2.9770,0,0,0
328,-3.0776,0,0,0
329,-3.3105,0,0,0
330,-3.2729,0,0,0
331,-3.3368,0,0,0
332,-3.6389,0,0,0
333,-3.3438,0,0,0
334,-3.2548,0,0,0
335,-3.4859,0,0,0
336,-3.4796,0,0,0
337,-3.5583,0,0,0
338,-3.7166,0,0,0
339,-3.6229,0,0,0
340,-3.2796,0,0,0
341,-3.6155,0,0,0
342,-3.6285,0,0,0
343,-3.4949,0,0,0
344,-3.0265,0,0,0
345,-3.2364,0,0,0
346,-3.2902,0,0,0
347,-3.1945,0,0,0
348,-3.5766,0,0,0
349,-3.8481,0,0,0
350,-2.9688,0,0,0
351,-3.5805,0,0,0
352,-3.0907,0,0,0
353,-3.5695,0,0,0
354,-3.3633,0,0,0
355,-2.9521,0,0,0
356,-3.0591,0,0,0
357,-3.0420,0,0,0
358,-2.7181,0,0,0
359,-2.5502,0,0,0
360,-3.0263,0,0,0
361,-2.4994,0,0,0
362,-2.5803,0,0,0
363,-2.9436,0,0,0
364,-2.5925,0,0,0
365,-2.3878,0,0,0
366,-2.3423,0,0,0
367,-2.7612,0,0,0
368,-2.2585,0,0,0
369,-2.0396,0,0,0
370,-1.8064,0,0,0
371,-1.8201,0,0,0
372,-1.9032,0,0,0
373,-1.7925,0,0,0
374,-1.4305,0,0,0
375,-1.6481,0,0,0
376,-0.8473,0,0,0
377,-0.9098,0,0,0
378,-0.8951,0,0,0
379,-1.1613,0,0,0
380,-0.7299,0,0,0
381,-1.1195,0,0,0
382,-0.6313,0,0,0
383,-0.3330,0,0,0
384,-0.3934,0,0,0
385,-0.4015,0,0,0
386,-0.0843,0,0,0
387,-0.2242,0,0,0
388,0.1031,0,0,0
389,0.0680,0,0,0
390,0.5104,0,0,0
391,0.6229,0,0,0
392,0.9837,0,0,0
393,1.4228,0,0,0
394,0.9864,0,0,0
395,1.1645,0,0,0
396,1.4221,0,0,0
397,1.1917,0,0,0
398,1.4794,0,0,0
399,1.6968,0,0,0
400,2.4027,0,0,0
401,1.9561,0,0,0
402,2.3419,0,0,0
403,2.6542,0,0,0
404,2.5490,0,0,0
405,2.7642,0,0,0
406,2.9375,0,0,0
407,2.4194,0,0,0
408,2.9266,0,0,0
409,3.3954,0,0,0
410,3.2693,0,0,0
411,3.0394,0,0,0
412,3.1535,0,0,0
413,3.6257,0,0,0
414,3.3171,0,0,0
415,3.9282,0,0,0
416,3.7598,0,0,0
417,4.1279,0,0,0
418,4.1362,0,0,0
419,4.1263,0,0,0
420,4.6568,0,0,0
421,4.7676,0,0,0
422,4.6626,0,0,0
423,4.7651,0,0,0
424,4.6950,0,0,0
425,13.2768,1,1,1
426,4.8258,0,0,0
427,5.2353,0,0,0
428,5.0363,0,0,0
429,5.2142,0,0,0
430,4.9160,0,0,0
431,5.2691,0,0,0
432,5.1371,0,0,0
433,5.2280,0,0,0
434,5.0705,0,0,0
435,5.2409,0,0,0
436,5.6538,0,0,0
437,10.9542,1,1,1
438,5.4755,0,0,0
439,5.6406,0,0,0
440,5.7299,0,0,0
441,5.6399,0,0,0
442,5.6760,0,0,0
443,5.8255,0,0,0
444,5.8537,0,0,0
445,5.7659,0,0,0
446,5.5667,0,0,0
447,5.4747,0,0,0
448,5.5555,0,0,0
449,5.5106,0,0,0
450,5.5435,0,0,0
451,5.5019,0,0,0
452,5.4024,0,0,0
453,5.4499,0,0,0
454,5.7267,0,0,0
455,5.5374,0,0,0
456,5.4264,0,0,0
457,5.3725,0,0,0
458,5.3910,0,0,0
459,5.3481,0,0,0
460,5.2458,0,0,0
461,5.0504,0,0,0
462,4.8791,0,0,0
463,4.9874,0,0,0
464,4.7821,0,0,0
465,5.1531,0,0,0
466,4.7307,0,0,0
467,4.5080,0,0,0
468,4.4823,0,0,0
469,4.2161,0,0,0
470,4.2347,0,0,0
471,3.9458,0,0,0
472,3.9527,0,0,0
473,4.1426,0,0,0
474,3.5143,0,0,0
475,4.0422,0,0,0
476,3.6631,0,0,0
477,3.4857,0,0,0
478,3.1695,0,0,0
479,3.4108,0,0,0
480,3.0899,0,0,0
481,2.9581,0,0,0
482,2.6138,0,0,0
483,2.4220,0,0,0
484,2.5122,0,0,0
485,2.5171,0,0,0
486,2.4802,0,0,0
487,2.1565,0,0,0
488,1.9467,0,0,0
489,1.7591,0,0,0
490,1.7243,0,0,0
491,1.5462,0,0,0
492,1.5973,0,0,0
493,16.1785,1,1,1
494,0.8595,0,0,0
495,0.7931,0,0,0
496,0.5525,0,0,0
497,0.6522,0,0,0
498,0.1938,0,0,0
499,0.4420,0,0,0
500,0.1904,0,0,0
501,-0.2143,0,0,0
502,-0.4213,0,0,0
503,-0.5130,0,0,0
504,-0.5763,0,0,0
505,-0.3788,0,0,0
506,-1.3105,0,0,0
507,-1.0814,0,0,0
508,-1.1839,0,0,0
509,-1.5865,0,0,0
510,-16.0375,1,1,1
511,-1.9650,0,0,0
512,-1.6022,0,0,0
513,-2.3787,0,0,0
514,-2.1378,0,0,0
515,-2.3214,0,0,0
516,-2.6618,0,0,0
517,-2.6879,0,0,0
518,-2.6270,0,0,0
519,-3.3688,0,0,0
520,-3.0826,0,0,0
521,-2.8030,0,0,0
522,-3.0609,0,0,0
523,-3.6024,0,0,0
524,-3.5001,0,0,0
525,-3.7293,0,0,0
526,-3.8279,0,0,0
527,-3.9355,0,0,0
528,-3.9157,0,0,0
529,-4.2412,0,0,0
530,-4.2319,0,0,0
531,-3.9264,0,0,0
532,-4.5079,0,0,0
533,-4.7295,0,0,0
534,-4.2539,0,0,0
535,-4.5547,0,0,0
536,-5.2108,0,0,0
537,-4.8003,0,0,0
538,-4.8933,0,0,0
539,-5.1088,0,0,0
540,-5.2702,0,0,0
541,-5.3324,0,0,0
542,-5.2097,0,0,0
543,-5.2730,0,0,0
544,-5.7820,0,0,0
545,-5.4246,0,0,0
546,-5.5063,0,0,0
547,-5.5600,0,0,0
548,-5.5454,0,0,0
549,-5.5592,0,0,0
550,-5.5719,0,0,0
551,-5.6745,0,0,0
552,-5.7339,0,0,0
553,-6.0388,0,0,0
554,-5.8230,0,0,0
555,-5.7972,0,0,0
556,-5.6334,0,0,0
557,-5.7517,0,0,0
558,-5.8344,0,0,0
559,-5.4938,0,0,0
560,-5.2447,0,0,0
561,-5.8931,0,0,0
562,-5.7918,0,0,0
563,-5.3746,0,0,0
564,-5.4419,0,0,0
565,-5.2560,0,0,0
566,-5.1697,0,0,0
567,-5.4010,0,0,0
568,-5.1202,0,0,0
569,-5.0747,0,0,0
570,-5.2308,0,0,0
571,-5.1372,0,0,0
572,-5.3410,0,0,0
573,-4.9296,0,0,0
574,-4.9392,0,0,0
575,-4.9863,0,0,0
576,-4.7559,0,0,0
577,-4.5119,0,0,0
578,-4.6542,0,0,0
579,-4.6017,0,0,0
580,-4.3040,0,0,0
581,-4.0249,0,0,0
582,-4.0509,0,0,0
583,-4.0756,0,0,0
584,-4.0576,0,0,0
585,-3.3499,0,0,0
586,-3.9927,0,0,0
587,-3.5875,0,0,0
588,-14.9352,1,1,1
589,-3.5386,0,0,0
590,-3.4750,0,0,0
591,-2.9862,0,0,0
592,-3.1544,0,0,0
593,-2.6040,0,0,0
594,-2.1954,0,0,0
595,-2.5574,0,0,0
596,-2.6918,0,0,0
597,-2.3961,0,0,0
598,-2.1920,0,0,0
599,-2.0840,0,0,0
600,-1.8962,0,0,0
601,-1.9146,0,0,0
602,-1.4487,0,0,0
603,-1.4177,0,0,0
604,-1.4561,0,0,0
605,-1.0066,0,0,0
606,-1.0646,0,0,0
607,-1.1636,0,0,0
608,-0.8487,0,0,0
609,-0.7323,0,0,0
610,-0.6393,0,0,0
611,-0.2077,0,0,0
612,-0.4388,0,0,0
613,0.1041,0,0,0
614,0.1221,0,0,0
615,0.4844,0,0,0
616,0.0167,0,0,0
617,0.3385,0,0,0
618,0.2740,0,0,0
619,0.8863,0,0,0
620,0.3019,0,0,0
621,0.8897,0,0,0
622,0.8711,0,0,0
623,1.2428,0,0,0
624,1.3688,0,0,0
625,1.8014,0,0,0
626,1.4622,0,0,0
627,1.7854,0,0,0
628,2.1469,0,0,0
629,2.1685,0,0,0
630,1.9864,0,0,0
631,1.8091,0,0,0
632,2.3858,0,0,0
633,1.9776,0,0,0
634,2.2669,0,0,0
635,2.6867,0,0,0
636,2.6786,0,0,0
637,2.6549,0,0,0
638,2.5646,0,0,0
639,2.7771,0,0,0
640,2.9171,0,0,0
641,3.0171,0,0,0
642,2.6514,0,0,0
643,2.9266,0,0,0
644,3.0044,0,0,0
645,3.2673,0,0,0
646,3.2925,0,0,0
647,3.3804,0,0,0
648,3.0815,0,0,0
649,3.5381,0,0,0
650,3.5493,0,0,0
651,2.9129,0,0,0
652,3.8288,0,0,0
653,3.4201,0,0,0
654,3.5736,0,0,0
655,3.7548,0,0,0
656,3.6220,0,0,0
657,3.6461,0,0,0
658,3.5401,0,0,0
659,3.4942,0,0,0
660,3.4839,0,0,0
661,3.2630,0,0,0
662,3.5427,0,0,0
663,3.5963,0,0,0
664,3.5422,0,0,0
665,3.2738,0,0,0
666,3.2976,0,0,0
667,3.0848,0,0,0
668,3.2556,0,0,0
669,3.4500,0,0,0
670,3.0259,0,0,0
671,3.2331,0,0,0
672,3.4373,0,0,0
673,2.8854,0,0,0
674,2.7935,0,0,0
675,2.7958,0,0,0
676,2.7636,0,0,0
677,2.9847,0,0,0
678,2.8518,0,0,0
679,3.1150,0,0,0
680,2.8702,0,0,0
681,2.7121,0,0,0
682,2.8563,0,0,0
683,2.7065,0,0,0
684,2.5895,0,0,0
685,2.0704,0,0,0
686,2.3726,0,0,0
687,2.3388,0,0,0
688,2.2444,0,0,0
689,2.2544,0,0,0
690,1.9388,0,0,0
691,2.1781,0,0,0
692,1.9314,0,0,0
693,1.7906,0,0,0
694,-7.9639,1,1,1
695,1.2733,0,0,0
696,1.6768,0,0,0
697,1.5281,0,0,0
698,1.4090,0,0,0
699,1.1579,0,0,0
700,1.1323,0,0,0
701,1.1358,0,0,0
702,0.6523,0,0,0
703,1.1742,0,0,0
704,0.6789,0,0,0
705,0.9078,0,0,0
706,0.6627,0,0,0
707,0.5800,0,0,0
708,0.4900,0,0,0
709,0.2145,0,0,0
710,0.0838,0,0,0
711,0.0453,0,0,0
712,-0.2786,0,0,0
713,-0.2162,0,0,0
714,0.0311,0,0,0
715,-0.2481,0,0,0
716,-0.1766,0,0,0
717,-0.6571,0,0,0
718,-0.4655,0,0,0
719,-11.5469,1,1,1
720,-0.9105,0,0,0
721,-0.5877,0,0,0
722,-0.5563,0,0,0
723,-0.9245,0,0,0
724,-0.9065,0,0,0
725,-1.0833,0,0,0
726,-1.5412,0,0,0
727,-1.1991,0,0,0
728,-1.4308,0,0,0
729,-1.2635,0,0,0
730,-1.3586,0,0,0
731,-1.8368,0,0,0
732,-1.4888,0,0,0
733,-1.5111,0,0,0
734,-1.4361,0,0,0
735,-1.8208,0,0,0
736,-1.6425,0,0,0
737,-1.4584,0,0,0
738,-2.0670,0,0,0
739,-1.5662,0,0,0
740,-2.0185,0,0,0
741,-1.9274,0,0,0
742,-1.8270,0,0,0
743,-2.2594,0,0,0
744,-1.9316,0,0,0
745,-1.3808,0,0,1
746,-1.9488,0,0,0
747,-2.1688,0,0,0
748,-1.8549,0,0,0
749,-1.8777,0,0,0
750,-2.0040,0,0,0
751,-1.9091,0,0,0
752,-2.1094,0,0,0
753,-1.8337,0,0,0
754,-2.0423,0,0,0
755,-1.9182,0,0,0
756,-1.5173,0,0,0
757,-1.7685,0,0,0
758,-1.9406,0,0,0
759,-2.1989,0,0,0
760,-1.8568,0,0,0
761,-1.8083,0,0,0
762,-1.4541,0,0,0
763,-2.1445,0,0,0
764,-1.7754,0,0,0
765,-1.6273,0,0,0
766,-1.6735,0,0,0
767,-6.8985,1,1,1
768,-1.6415,0,0,0
769,-1.4584,0,0,0
770,-1.3824,0,0,0
771,-1.3184,0,0,0
772,-1.2983,0,0,0
773,-0.7661,0,0,0
774,-0.7890,0,0,0
775,-1.0230,0,0,0
776,-0.8237,0,0,0
777,-0.8855,0,0,0
778,-0.9607,0,0,0
779,-1.0147,0,0,0
780,-0.9319,0,0,0
781,-0.7186,0,0,0
782,-0.6335,0,0,0
783,-0.2149,0,0,0
784,-0.2475,0,0,0
785,-0.3879,0,0,0
786,0.1580,0,0,0
787,-0.3088,0,0,0
788,-0.4714,0,0,0
789,-0.1182,0,0,0
790,0.4763,0,0,0
791,0.3470,0,0,0
792,0.4317,0,0,0
793,0.2333,0,0,0
794,0.1097,0,0,0
795,0.5150,0,0,0
796,0.4267,0,0,0
797,0.9868,0,0,0
798,1.0371,0,0,0
799,0.9129,0,0,0
800,1.0619,0,0,0
801,1.1654,0,0,0
802,1.0155,0,0,0
803,1.6951,0,0,0
804,1.6619,0,0,0
805,1.8348,0,0,0
806,1.6866,0,0,0
807,1.9186,0,0,0
808,1.8749,0,0,0
809,2.2865,0,0,0
810,1.9648,0,0,0
811,2.1818,0,0,0
812,2.3963,0,0,0
813,2.5897,0,0,0
814,1.9900,0,0,0
815,2.6832,0,0,0
816,2.2064,0,0,0
817,2.5761,0,0,0
818,2.3753,0,0,0
819,2.5996,0,0,0
820,2.9054,0,0,0
821,2.8152,0,0,0
822,3.3054,0,0,0
823,3.1003,0,0,0
824,3.0043,0,0,0
825,3.1922,0,0,0
826,2.9665,0,0,0
827,3.1645,0,0,0
828,3.3637,0,0,0
829,3.0795,0,0,0
830,3.2764,0,0,0
831,3.1239,0,0,0
832,3.6674,0,0,0
833,3.3797,0,0,0
834,3.2392,0,0,0
835,3.5236,0,0,0
836,3.5113,0,0,0
837,3.6772,0,0,0
838,3.3395,0,0,0
839,3.7769,0,0,0
840,3.1762,0,0,0
841,3.6130,0,0,0
842,3.7480,0,0,0
843,3.3092,0,0,0
844,3.2656,0,0,0
845,3.4304,0,0,0
846,3.3501,0,0,0
847,3.5313,0,0,0
848,3.3725,0,0,0
849,3.4219,0,0,0
850,3.1596,0,0,0
851,3.2864,0,0,0
852,3.1584,0,0,0
853,3.1828,0,0,0
854,3.3743,0,0,0
855,3.3748,0,0,0
856,3.0732,0,0,0
857,2.8573,0,0,0
858,3.2523,0,0,0
859,3.0796,0,0,0
860,2.7080,0,0,0
861,2.3865,0,0,0
862,2.9811,0,0,0
863,1.8909,0,0,0
864,2.6334,0,0,0
865,2.2205,0,0,0
866,2.1999,0,0,0
867,2.2063,0,0,0
868,2.2071,0,0,0
869,2.1977,0,0,0
870,2.4745,0,0,0
871,2.2770,0,0,0
872,1.4445,0,0,0
873,1.4302,0,0,0
874,1.4672,0,0,0
875,1.7419,0,0,0
876,1.4057,0,0,0
877,1.5018,0,0,0
878,0.5709,0,0,0
879,0.3462,0,0,0
880,1.2528,0,0,0
881,0.5144,0,0,0
882,0.5641,0,0,0
883,-0.0624,0,0,0
884,0.4982,0,0,0
885,0.2313,0,0,0
886,-0.0728,0,0,0
887,-0.1909,0,0,0
888,-0.3761,0,0,0
889,-0.5474,0,0,0
890,-0.7175,0,0,0
891,-0.7314,0,0,0
892,-0.6487,0,0,0
893,-1.2011,0,0,0
894,-1.0975,0,0,0
895,-1.2607,0,0,0
896,-1.0533,0,0,0
897,-1.6440,0,0,0
898,-1.3797,0,0,0
899,-1.9815,0,0,0
900,-1.4775,0,0,0
901,-1.8248,0,0,0
902,-2.1063,0,0,0
903,-2.5471,0,0,0
904,-2.6165,0,0,0
905,-2.6315,0,0,0
906,-2.5711,0,0,0
907,-2.6655,0,0,0
908,-2.9682,0,0,0
909,-3.1674,0,0,0
910,-3.1001,0,0,0
911,-3.1308,0,0,0
912,-3.5816,0,0,0
913,-3.5749,0,0,0
914,-3.6101,0,0,0
915,-3.9254,0,0,0
916,-3.9872,0,0,0
917,-4.1510,0,0,0
918,-4.4170,0,0,0
919,-4.0122,0,0,0
920,-4.1113,0,0,0
921,-4.4704,0,0,0
922,-4.5892,0,0,0
923,-4.6462,0,0,0
924,-4.8273,0,0,0
925,-4.3237,0,0,0
926,-4.9071,0,0,0
927,-4.9705,0,0,0
928,-5.1466,0,0,0
929,-5.2933,0,0,0
930,-5.2429,0,0,0
931,-5.2274,0,0,0
932,-5.2294,0,0,0
933,-5.8500,0,0,0
934,-5.5017,0,0,0
935,-5.5042,0,0,0
936,-5.2213,0,0,0
937,-5.5041,0,0,0
938,-5.4218,0,0,0
939,-5.5652,0,0,0
940,-5.4577,0,0,0
941,-5.6264,0,0,0
942,-5.3590,0,0,0
943,-5.6120,0,0,0
944,-5.5802,0,0,0
945,-5.6272,0,0,0
946,-5.7752,0,0,0
947,-5.7986,0,0,0
948,-5.7420,0,0,0
949,-5.6104,0,0,0
950,-5.5302,0,0,0
951,-5.3358,0,0,0
952,-5.5922,0,0,0
953,-5.2120,0,0,0
954,-5.4932,0,0,0
955,-5.4581,0,0,0
956,-4.8190,0,0,0
957,-5.5471,0,0,0
958,-5.2143,0,0,0
959,-5.0832,0,0,0
960,-4.9219,0,0,0
961,-4.8410,0,0,0
962,-4.8948,0,0,0
963,-4.8045,0,0,0
964,-4.8416,0,0,0
965,-4.5884,0,0,0
966,-4.7245,0,0,0
967,-4.4543,0,0,0
968,-4.3758,0,0,0
969,-4.8137,0,0,0
970,-4.2126,0,0,0
971,-4.2521,0,0,0
972,-4.1444,0,0,0
973,-4.2133,0,0,0
974,-3.7843,0,0,0
975,-3.5331,0,0,0
976,-3.7146,0,0,0
977,-3.3944,0,0,0
978,-3.0905,0,0,0
979,-3.4414,0,0,0
980,-3.2091,0,0,0
981,-2.7189,0,0,0
982,-2.7029,0,0,0
983,-2.5598,0,0,0
984,-2.3990,0,0,0
985,-2.1423,0,0,0
986,-2.3315,0,0,0
987,-2.1482,0,0,0
988,-1.8290,0,0,0
989,-2.1882,0,0,0

=== Z-score Filter (k=3.0, W=21) ===
TP=16 FP=0 FN=0 TN=964
TPR: 1.000
FPR: 0.000

=== Hampel Filter (k=3.0, W=21) ===
TP=16 FP=1 FN=0 TN=963
TPR: 1.000
FPR: 0.001
